2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 175, column 'company_id' - found int value: 95298
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 183, column 'company_id' - found int value: 20237
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 194, column 'company_id' - found int value: 117409
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 195, column 'company_id' - found int value: 28658
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 196, column 'company_id' - found int value: 101353
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 197, column 'company_id' - found int value: 5040
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 202, column 'company_id' - found int value: 20237
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 206, column 'company_id' - found int value: 20237
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 207, column 'company_id' - found int value: 24503
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 209, column 'company_id' - found int value: 130703
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 210, column 'company_id' - found int value: 18194
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 211, column 'company_id' - found int value: 24657
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 213, column 'company_id' - found int value: 18190
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 215, column 'company_id' - found int value: 3275
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 221, column 'company_id' - found int value: 119103
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 222, column 'company_id' - found int value: 130257
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 229, column 'company_id' - found int value: 127756
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 230, column 'company_id' - found int value: 127756
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 240, column 'company_id' - found int value: 669
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 293, column 'company_id' - found int value: 15123
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 294, column 'company_id' - found int value: 28658
2025-06-08 10:31:59,157 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 296, column 'company_id' - found int value: 15016
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 302, column 'company_id' - found int value: 25712
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 309, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 312, column 'company_id' - found int value: 94556
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 345, column 'company_id' - found int value: 24657
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 346, column 'company_id' - found int value: 20591
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 349, column 'company_id' - found int value: 117409
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 350, column 'company_id' - found int value: 28637
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 358, column 'company_id' - found int value: 17144
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 365, column 'company_id' - found int value: 28658
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 372, column 'company_id' - found int value: 5443
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 374, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 380, column 'company_id' - found int value: 89466
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 381, column 'company_id' - found int value: 89466
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 382, column 'company_id' - found int value: 14940
2025-06-08 10:31:59,158 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 383, column 'company_id' - found int value: 2998
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 398, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 416, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 418, column 'company_id' - found int value: 110686
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 419, column 'company_id' - found int value: 1543
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 420, column 'company_id' - found int value: 121871
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 437, column 'company_id' - found int value: 744
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 449, column 'company_id' - found int value: 1543
2025-06-08 10:31:59,159 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 450, column 'company_id' - found int value: 96438
